Year,Trial,ID,Block,NumPlants,NeoToAdult,PDay,PWeight,PDuration,InstarToMove,DaysToMove,TimesMoved,Move1st,Move2nd,Move3rd,Move4th,Move5th,PlantAbandonment,Abandon1st,Abandon2nd,Abandon3rd,Abandon4th,Abandon5th,NumPlantsVisited,PercPlantsVisited,ObsOnPlant,ObsOnCage
2017,3,24,3,2,22,11,1.41,11,5,9,2,0,0,0,0,2,2,0,0,0,0,2,2,100,21,2
2017,3,25,3,2,19,10,1.32,9,5,7,2,0,0,0,0,2,2,0,0,0,0,2,2,100,16,5
2017,3,26,3,3,20,11,1.27,9,5,7,3,0,0,0,0,3,2,0,0,0,0,2,2,66.66666667,18,5
2017,4,1,1,2,20,11,1.09,9,4,6,3,0,0,0,1,2,2,0,0,0,1,1,2,100,18,4
2017,4,2,1,3,22,13,0.87,9,4,5,5,0,0,0,2,3,4,0,0,0,2,2,3,100,21,5
2017,4,3,1,4,20,11,1.13,9,5,10,2,0,0,0,0,2,3,0,0,0,0,2,2,50,22,1
2017,4,4,1,4,21,12,1.27,9,3,4,3,0,0,1,1,1,3,0,0,1,1,1,2,50,22,2
2017,4,5,1,4,22,12,0.92,10,5,11,1,0,0,0,0,1,1,0,0,0,0,1,2,50,25,0
2017,4,6,1,2,27,16,0.74,10,4,7,6,0,0,0,2,4,5,0,0,0,2,3,2,100,26,7
2017,4,7,1,2,NA,12,0.76,NA,4,6,6,0,0,0,1,5,4,0,0,0,1,3,2,100,16,8
2017,4,10,2,2,22,13,0.9,9,4,8,5,0,0,0,2,3,4,0,0,0,2,2,2,100,22,4
2017,4,11,2,3,23,13,1.35,10,2,3,5,0,1,1,1,2,4,0,1,1,1,1,2,66.66666667,22,5
2017,4,12,2,4,20,11,1.29,9,4,6,3,0,0,0,1,2,2,0,0,0,1,1,3,75,18,5
2017,4,13,2,3,23,13,1.29,10,4,8,3,0,0,0,1,2,2,0,0,0,1,1,2,66.66666667,22,5
2017,4,14,2,3,23,13,1.29,10,5,11,1,0,0,0,0,1,1,0,0,0,0,1,1,33.33333333,22,5
2017,4,16,2,4,20,11,1.26,9,3,4,6,0,0,1,1,4,6,0,0,1,1,4,4,100,19,3
2017,4,17,2,2,21,11,1.61,10,5,8,2,0,0,0,0,2,2,0,0,0,0,2,2,100,20,3
2017,4,18,2,4,18,10,1,8,3,4,7,0,0,1,3,3,5,0,0,1,2,2,4,100,16,5
2017,4,19,3,3,23,14,1.48,10,4,8,2,0,0,0,1,1,2,0,0,0,1,1,3,100,27,0
2017,4,20,3,4,20,11,1.53,9,4,5,7,0,0,0,3,4,5,0,0,0,2,3,3,75,19,3
2017,4,21,3,4,20,10,1.15,10,4,6,3,0,0,0,1,2,3,0,0,0,1,2,3,75,21,0
2017,4,22,3,3,20,10,1.2,10,3,4,4,0,0,1,0,3,4,0,0,1,0,3,3,100,16,5
2017,4,25,3,2,18,10,1.18,8,5,8,2,0,0,0,0,2,2,0,0,0,0,2,2,100,18,3
2017,4,26,3,4,24,14,1.54,10,2,2,4,0,1,0,1,2,4,0,1,0,1,2,4,100,28,0
2017,4,27,3,2,27,16,0.85,10,5,12,4,0,0,0,0,4,3,0,0,0,0,3,2,100,28,5
