Year,Trial,ID,NumPlants,Block,Instar,Movements,TimesObs,RelMovements,ArcSineMovements
2018,6,28,2,4,4,1,12,0.083333333,0.292842772
2018,6,29,4,4,1,0,11,0,0
2018,6,29,4,4,2,1,11,0.090909091,0.306277369
2018,6,29,4,4,3,2,11,0.181818182,0.440510663
2018,6,29,4,4,4,2,11,0.181818182,0.440510663
2018,6,30,4,4,1,0,17,0,0
2018,6,30,4,4,2,0,17,0,0
2018,6,30,4,4,3,0,17,0,0
2018,6,30,4,4,5,0,17,0,0
2018,6,30,4,4,4,2,17,0.117647059,0.350105778
2018,6,33,3,4,1,0,12,0,0
2018,6,33,3,4,2,0,12,0,0
2018,6,33,3,4,3,0,12,0,0
2018,6,33,3,4,4,2,12,0.166666667,0.420534335
2018,6,34,2,4,1,0,16,0,0
2018,6,34,2,4,2,1,16,0.0625,0.252680255
2018,6,34,2,4,4,1,16,0.0625,0.252680255
2018,6,34,2,4,3,2,16,0.125,0.361367124
2018,6,34,2,4,5,2,16,0.125,0.361367124
2018,6,36,2,4,1,0,7,0,0
2018,6,36,2,4,2,1,7,0.142857143,0.387596687
2018,6,37,4,5,1,0,7,0,0
2018,6,37,4,5,2,0,7,0,0
2018,6,38,3,5,1,0,12,0,0
2018,6,38,3,5,2,0,12,0,0
2018,6,38,3,5,3,0,12,0,0
2018,6,38,3,5,4,0,12,0,0
2018,6,39,2,5,1,0,14,0,0
2018,6,39,2,5,4,0,14,0,0
2018,6,39,2,5,3,1,14,0.071428571,0.270549763
2018,6,39,2,5,2,3,14,0.214285714,0.481275374
2018,6,40,2,5,1,0,15,0,0
2018,6,40,2,5,2,0,15,0,0
2018,6,40,2,5,3,1,15,0.066666667,0.261157411
2018,6,40,2,5,4,3,15,0.2,0.463647609
2018,6,41,2,5,1,0,15,0,0
2018,6,41,2,5,2,1,15,0.066666667,0.261157411
2018,6,41,2,5,4,1,15,0.066666667,0.261157411
2018,6,41,2,5,5,1,15,0.066666667,0.261157411
2018,6,41,2,5,3,3,15,0.2,0.463647609
2018,6,42,4,5,1,0,12,0,0
2018,6,42,4,5,2,0,12,0,0
2018,6,42,4,5,3,1,12,0.083333333,0.292842772
2018,6,42,4,5,4,1,12,0.083333333,0.292842772
2018,6,43,3,5,1,0,20,0,0
2018,6,43,3,5,2,0,20,0,0
2018,6,43,3,5,3,1,20,0.05,0.225513406
2018,6,43,3,5,5,1,20,0.05,0.225513406
2018,6,43,3,5,4,2,20,0.1,0.321750554
2018,6,45,3,5,1,0,5,0,0
2018,6,45,3,5,2,0,5,0,0
2018,6,47,3,6,1,1,12,0.083333333,0.292842772
2018,6,47,3,6,4,1,12,0.083333333,0.292842772
2018,6,47,3,6,2,2,12,0.166666667,0.420534335
2018,6,47,3,6,3,2,12,0.166666667,0.420534335
2018,6,50,4,6,1,0,7,0,0
2018,6,50,4,6,2,0,7,0,0
2018,6,50,4,6,3,0,7,0,0
2018,6,51,4,6,1,0,17,0,0
2018,6,51,4,6,2,0,17,0,0
2018,6,51,4,6,4,0,17,0,0
2018,6,51,4,6,3,1,17,0.058823529,0.244978663
2018,6,51,4,6,5,2,17,0.117647059,0.350105778
2018,6,52,4,6,1,0,5,0,0
2018,6,52,4,6,2,0,5,0,0
2018,6,53,3,6,2,0,8,0,0
