Year,Trial,Block,Cage,NumPlants,LT,LM,LB,ST,SNV,SB,SS,TimesObs,MoveOnNatal,RLT,RLM,RLB,RST,RSNV,RSB,RSS,RMoveOnStem,
2018,6,6,47,3,7,5,0,2,0,10,0,12,6,0.583333333,0.416666667,0,0.166666667,0,0.833333333,0,0.5,
2018,6,6,50,4,14,2,2,1,2,12,3,18,0,0.777777778,0.111111111,0.111111111,0.055555556,0.111111111,0.666666667,0.166666667,0,
2018,6,6,51,4,12,10,1,3,0,18,2,23,3,0.52173913,0.434782609,0.043478261,0.130434783,0,0.782608696,0.086956522,0.130434783,
2018,6,6,52,4,14,3,5,1,2,18,1,22,0,0.636363636,0.136363636,0.227272727,0.045454545,0.090909091,0.818181818,0.045454545,0,
2018,6,6,53,3,4,5,0,3,0,6,0,9,2,0.444444444,0.555555556,0,0.333333333,0,0.666666667,0,0.222222222,
2018,6,6,54,3,5,4,0,1,0,8,0,9,1,0.555555556,0.444444444,0,0.111111111,0,0.888888889,0,0.111111111,
2018,6,7,55,3,9,0,0,2,5,2,0,9,0,1,0,0,0.222222222,0.555555556,0.222222222,0,0,
2018,6,7,56,3,7,0,0,1,1,5,0,7,0,1,0,0,0.142857143,0.142857143,0.714285714,0,0,
2018,6,7,58,3,16,3,0,2,1,16,0,19,4,0.842105263,0.157894737,0,0.105263158,0.052631579,0.842105263,0,0.210526316,
2018,6,7,60,2,7,0,0,1,2,4,0,7,0,1,0,0,0.142857143,0.285714286,0.571428571,0,0,
2018,6,8,67,2,7,3,0,1,2,7,0,10,3,0.7,0.3,0,0.1,0.2,0.7,0,0.3,
2018,6,8,69,3,5,4,0,3,1,5,0,9,6,0.555555556,0.444444444,0,0.333333333,0.111111111,0.555555556,0,0.666666667,
2018,6,8,70,4,12,11,2,1,0,24,0,25,4,0.48,0.44,0.08,0.04,0,0.96,0,0.16,
2018,6,8,72,3,13,5,0,1,6,11,0,18,3,0.722222222,0.277777778,0,0.055555556,0.333333333,0.611111111,0,0.166666667,
2018,6,9,73,2,8,3,1,1,5,6,0,12,3,0.666666667,0.25,0.083333333,0.083333333,0.416666667,0.5,0,0.25,
2018,6,9,77,4,15,6,1,1,7,14,0,22,1,0.681818182,0.272727273,0.045454545,0.045454545,0.318181818,0.636363636,0,0.045454545,
2018,6,9,79,3,8,1,0,3,0,6,0,9,2,0.888888889,0.111111111,0,0.333333333,0,0.666666667,0,0.222222222,
2018,6,9,80,3,9,0,3,3,1,7,1,12,2,0.75,0,0.25,0.25,0.083333333,0.583333333,0.083333333,0.166666667,
2018,7,1,1,2,3,6,0,2,0,7,0,9,1,0.333333333,0.666666667,0,0.222222222,0,0.777777778,0,0.111111111,
2018,7,1,2,4,17,7,1,3,3,14,5,25,5,0.68,0.28,0.04,0.12,0.12,0.56,0.2,0.2,
