Year,Trial,ID,Block,NumPlants,PDay,PWeight,InstarToMove,DaysToMove,TimesMoved,Move1st,Move2nd,Move3rd,Move4th,Move5th,PlantAbandonment,Abandon1st,Abandon2nd,Abandon3rd,Abandon4th,Abandon5th,NumPlantsVisited,PercPlantsVisited,PercPlantArcSine,ObsOnPlant,ObsOnCage,TimesObs,RelPlant,RelCage,PlantArcSine,CageArcSine
2017,1,23,3,3,12,1.46,3,4,5,0,0,1,1,3,3,0,0,1,0,2,2,66.6666667,0.955316618,15,10,25,0.6,0.4,0.886077124,0.684719203
2017,1,25,3,4,12,1.41,5,9,3,0,0,0,0,3,3,0,0,0,0,3,3,75,1.047197551,22,3,25,0.88,0.12,1.217054721,0.353741606
2017,1,26,3,2,12,1.31,3,5,6,0,0,1,1,4,5,0,0,1,0,4,2,100,1.570796327,19,5,24,0.791666667,0.208333333,1.096811456,0.473984871
2017,2,2,1,4,12,1.35,3,5,2,0,0,1,0,1,2,0,0,1,0,1,3,75,1.047197551,24,0,24,1,0,1.570796327,0
2017,2,3,1,3,13,1.36,4,8,5,0,0,0,1,4,4,0,0,0,1,3,3,100,1.570796327,25,1,26,0.961538462,0.038461538,1.373400767,0.19739556
2017,2,4,1,4,11,1.38,3,6,3,0,0,1,0,2,3,0,0,1,0,2,2,50,0.785398163,20,3,23,0.869565217,0.130434783,1.201287387,0.36950894
2017,2,5,1,2,13,1.52,3,6,7,0,0,2,1,4,4,0,0,1,1,2,2,100,1.570796327,18,8,26,0.692307692,0.307692308,0.982793723,0.588002604
2017,2,7,1,3,14,1.44,4,9,3,0,0,0,1,2,3,0,0,0,1,2,3,100,1.570796327,28,0,28,1,0,1.570796327,0
2017,2,9,1,2,12,1.47,4,7,3,0,0,0,1,2,3,0,0,0,1,2,2,100,1.570796327,22,2,25,0.88,0.08,1.217054721,0.286756552
2017,2,10,2,2,11,1.19,3,4,6,0,0,2,1,3,4,0,0,1,1,2,2,100,1.570796327,16,6,22,0.727272727,0.272727273,1.021329082,0.549467245
2017,2,11,2,4,13,1.38,4,9,2,0,0,0,1,1,2,0,0,0,1,1,3,75,1.047197551,26,0,26,1,0,1.570796327,0
2017,2,14,2,2,11,1.3,3,4,6,0,0,1,2,3,4,0,0,1,1,2,2,100,1.570796327,17,6,23,0.739130435,0.260869565,1.034734837,0.53606149
2017,2,15,2,4,11,1.26,3,4,6,0,0,1,3,2,4,0,0,1,2,1,3,75,1.047197551,17,6,23,0.739130435,0.260869565,1.034734837,0.53606149
