"","Location","N","LocRelativeTime","sd","se","ci","Sig"
"1","Bottom",85,0.0562942718588235,0.0800605188294393,0.0086837825014347,0.0172686538282675,"a"
"2","Middle",85,0.230898018811765,0.162727604981839,0.0176502869242219,0.0350995312024026,"b"
"3","Top",85,0.712807709317647,0.180737121894624,0.0196036932987135,0.0389840940022486,"c"
